block_id,anchor_target_rho,lpips_alex
P2P_B000,0.3,0.0021494296961463988
P2P_B000,0.5,0.019547521602362394
P2P_B002,0.3,0.04203345999121666
P2P_B002,0.5,0.0816117599606514
P2P_B003,0.3,0.01699371775612235
P2P_B003,0.5,0.020049470011144876
P2P_B004,0.3,0.009313537739217281
P2P_B004,0.5,0.019133028108626604
P2P_B008,0.3,0.035983914509415627
P2P_B008,0.5,0.09786529839038849
P2P_B010,0.3,0.0224599726498127
P2P_B010,0.5,0.04439124837517738
P2P_B011,0.3,0.008444123901426792
P2P_B011,0.5,0.029956737533211708
P2P_B013,0.3,0.0034876865101978183
P2P_B013,0.5,0.03025820292532444
P2P_B019,0.3,0.03299026004970074
P2P_B019,0.5,0.10641041770577431
P2P_B020,0.3,0.01721682120114565
P2P_B020,0.5,0.014416838064789772
P2P_B024,0.3,0.02302258275449276
P2P_B024,0.5,0.06471710279583931
P2P_B025,0.3,0.006238646572455764
P2P_B025,0.5,0.02266964945010841
P2P_B028,0.3,0.011416210792958736
P2P_B028,0.5,0.11271348968148232
P2P_B030,0.3,0.009263498242944479
P2P_B030,0.5,0.03681548126041889
P2P_B033,0.3,0.009817067184485495
P2P_B033,0.5,0.0015552711265627295
P2P_B035,0.3,0.006924957835906298
P2P_B035,0.5,1.917730855893751e-05
P2P_B036,0.3,0.0012102132168365642
P2P_B036,0.5,0.008933098783018067
P2P_B037,0.3,0.014112250413745642
P2P_B037,0.5,0.029035747051239014
P2P_B038,0.3,0.006417597644031048
P2P_B038,0.5,0.041274191811680794
P2P_B039,0.3,0.015459416899830103
P2P_B039,0.5,0.05581087991595268
P2P_B041,0.3,0.012221447192132473
P2P_B041,0.5,0.036027420312166214
P2P_B043,0.3,0.007827340043149889
P2P_B043,0.5,0.01555636152625084
P2P_B045,0.3,0.03149046469479799
P2P_B045,0.5,0.043424359522759914
P2P_B047,0.3,0.012403663713485003
P2P_B047,0.5,0.02880694903433323
