block_id,anchor_target_rho,lpips_alex
P3S_B000,0.3,0.030035177245736122
P3S_B000,0.5,0.059792935848236084
P3S_B001,0.3,0.03552268259227276
P3S_B001,0.5,0.05916375294327736
P3S_B002,0.3,0.007184001733548939
P3S_B002,0.5,0.026854291558265686
P3S_B003,0.3,3.858129844047653e-06
P3S_B003,0.5,5.8111210137212765e-06
P3S_B004,0.3,0.004112079506739974
P3S_B004,0.5,0.07417719252407551
P3S_B005,0.3,0.014105200301855803
P3S_B005,0.5,0.04660596325993538
P3S_B006,0.3,0.0037845333572477102
P3S_B006,0.5,0.003052326115721371
P3S_B007,0.3,0.03055185917764902
P3S_B007,0.5,0.02859904244542122
P3S_B008,0.3,4.219644011982382e-07
P3S_B008,0.5,4.598423174684285e-06
P3S_B009,0.3,0.004383531399071217
P3S_B009,0.5,0.02979234606027603
P3S_B010,0.3,2.867399473416299e-06
P3S_B010,0.5,2.768319973256439e-06
P3S_B011,0.3,0.0046527199447155
P3S_B011,0.5,0.024966648779809475
P3S_B012,0.3,8.085349918474094e-07
P3S_B012,0.5,2.0520496946119238e-06
P3S_B013,0.3,0.0011676903814077377
P3S_B013,0.5,0.028500764165073633
P3S_B014,0.3,0.012007380370050669
P3S_B014,0.5,0.06176331266760826
P3S_B015,0.3,0.003965860931202769
P3S_B015,0.5,0.024864761158823967
P3S_B016,0.3,0.0044937989878235385
P3S_B016,0.5,0.018880107905715704
P3S_B017,0.3,0.006127554006525315
P3S_B017,0.5,0.029450371861457825
P3S_B018,0.3,0.03592994809150696
P3S_B018,0.5,0.08697450533509254
P3S_B019,0.3,0.01763079036027193
P3S_B019,0.5,0.06471900455653667
P3S_B020,0.3,0.0025654430501163006
P3S_B020,0.5,0.03725641779601574
P3S_B021,0.3,0.023488348349928856
P3S_B021,0.5,0.041899461299180984
P3S_B022,0.3,0.012631712481379509
P3S_B022,0.5,0.08874071761965752
P3S_B023,0.3,0.022358635440468788
P3S_B023,0.5,0.03554366482421756
P3S_B024,0.3,0.00019195970895680148
P3S_B024,0.5,0.0006601421813741126
P3S_B025,0.3,0.026847680564969778
P3S_B025,0.5,0.028229374438524246
P3S_B026,0.3,0.00037796562537550926
P3S_B026,0.5,0.029670933727174997
P3S_B027,0.3,0.001275082933716476
P3S_B027,0.5,0.038929279893636703
P3S_B028,0.3,0.0071484693326056
P3S_B028,0.5,0.03324967157095671
P3S_B029,0.3,0.014377451967447996
P3S_B029,0.5,0.013016453478485346
P3S_B030,0.3,0.001840294396970421
P3S_B030,0.5,0.02041870541870594
P3S_B031,0.3,0.0070356702781282365
P3S_B031,0.5,0.0015009288326837122
P3S_B032,0.3,0.009421216091141105
P3S_B032,0.5,0.03889495972543955
P3S_B033,0.3,0.00968537456355989
P3S_B033,0.5,0.009948369581252337
P3S_B034,0.3,0.0024078451097011566
P3S_B034,0.5,0.03706868924200535
P3S_B035,0.3,0.008162698242813349
P3S_B035,0.5,0.0769176259636879
P3S_B036,0.3,0.02117439405992627
P3S_B036,0.5,0.061809241771698
P3S_B037,0.3,0.00011081062621087767
P3S_B037,0.5,5.785809662484098e-05
P3S_B038,0.3,0.008550964994356036
P3S_B038,0.5,0.01693564746528864
P3S_B039,0.3,0.0061419939156621695
P3S_B039,0.5,0.011916975025087595
